tractid,neighborhood,supervisor_district,city
010100,North Beach,3,San Francisco
010200,Russian Hill,2,San Francisco
010300,Russian Hill,3,San Francisco
010400,North Beach,3,San Francisco
010500,Financial District,3,San Francisco
010600,North Beach,3,San Francisco
010700,Chinatown,3,San Francisco
010800,Nob Hill,3,San Francisco
010900,Russian Hill,3,San Francisco
011000,Russian Hill,3,San Francisco
011100,Nob Hill,3,San Francisco
011200,Nob Hill,3,San Francisco
011300,Chinatown,3,San Francisco
011700,Financial District,3,San Francisco
011800,Chinatown,3,San Francisco
011901,Nob Hill,3,San Francisco
011902,Nob Hill,3,San Francisco
012000,Nob Hill,3,San Francisco
012100,Nob Hill,3,San Francisco
012201,Tenderloin,6,San Francisco
012202,Tenderloin,6,San Francisco
012301,Tenderloin,6,San Francisco
012302,Tenderloin,3,San Francisco
012401,Tenderloin,6,San Francisco
012402,Tenderloin,6,San Francisco
012501,Tenderloin,6,San Francisco
012502,Tenderloin,6,San Francisco
012601,Marina,2,San Francisco
012602,Marina,2,San Francisco
012700,Marina,2,San Francisco
012800,Marina,2,San Francisco
012901,Marina,2,San Francisco
012902,Marina,2,San Francisco
013000,Marina,2,San Francisco
013101,Pacific Heights,2,San Francisco
013102,Pacific Heights,2,San Francisco
013200,Pacific Heights,2,San Francisco
013300,Presidio Heights,2,San Francisco
013400,Pacific Heights,2,San Francisco
013500,Pacific Heights,2,San Francisco
015100,Western Addition,2,San Francisco
015200,Pacific Heights,5,San Francisco
015300,Pacific Heights,2,San Francisco
015400,Presidio Heights,2,San Francisco
015500,Japantown,5,San Francisco
015600,Lone Mountain/USF,1,San Francisco
015700,Lone Mountain/USF,1,San Francisco
015801,Western Addition,5,San Francisco
015802,Western Addition,5,San Francisco
015900,Western Addition,5,San Francisco
016000,Western Addition,5,San Francisco
016100,Western Addition,5,San Francisco
016200,Hayes Valley,5,San Francisco
016300,Hayes Valley,5,San Francisco
016400,Hayes Valley,5,San Francisco
016500,Lone Mountain/USF,5,San Francisco
016600,Haight Ashbury,5,San Francisco
016700,Haight Ashbury,5,San Francisco
016801,Hayes Valley,5,San Francisco
016802,Hayes Valley,5,San Francisco
016900,Castro/Upper Market,8,San Francisco
017000,Castro/Upper Market,8,San Francisco
017101,Haight Ashbury,5,San Francisco
017102,Haight Ashbury,5,San Francisco
017601,South of Market,6,San Francisco
017700,Mission,9,San Francisco
017801,South of Market,6,San Francisco
017802,South of Market,6,San Francisco
017902,Treasure Island,6,San Francisco
018000,South of Market,6,San Francisco
020100,Mission,9,San Francisco
020200,Mission,8,San Francisco
020300,Castro/Upper Market,8,San Francisco
020401,Castro/Upper Market,8,San Francisco
020402,Twin Peaks,8,San Francisco
020500,Castro/Upper Market,8,San Francisco
020600,Castro/Upper Market,8,San Francisco
020700,Mission,8,San Francisco
020800,Mission,9,San Francisco
020900,Mission,9,San Francisco
021000,Mission,8,San Francisco
021100,Noe Valley,8,San Francisco
021200,Noe Valley,8,San Francisco
021300,Noe Valley,8,San Francisco
021400,Noe Valley,8,San Francisco
021500,Noe Valley,8,San Francisco
021600,Noe Valley,8,San Francisco
021700,Glen Park,8,San Francisco
021800,Glen Park,8,San Francisco
022600,Potrero Hill,10,San Francisco
022702,Potrero Hill,10,San Francisco
022704,Potrero Hill,10,San Francisco
022801,Mission,9,San Francisco
022802,Mission,10,San Francisco
022803,Mission,9,San Francisco
022901,Mission,9,San Francisco
022902,Mission,9,San Francisco
022903,Mission,9,San Francisco
023001,Bayview Hunters Point,10,San Francisco
023003,Bayview Hunters Point,10,San Francisco
023102,Bayview Hunters Point,10,San Francisco
023103,Bayview Hunters Point,10,San Francisco
023200,Bayview Hunters Point,10,San Francisco
023300,Bayview Hunters Point,10,San Francisco
023400,Bayview Hunters Point,10,San Francisco
025100,Bernal Heights,9,San Francisco
025200,Bernal Heights,9,San Francisco
025300,Bernal Heights,9,San Francisco
025401,Bernal Heights,9,San Francisco
025402,Bernal Heights,9,San Francisco
025403,Bernal Heights,9,San Francisco
025500,Outer Mission,11,San Francisco
025600,Excelsior,9,San Francisco
025701,Portola,9,San Francisco
025702,Portola,9,San Francisco
025800,Portola,9,San Francisco
025900,Portola,9,San Francisco
026001,Excelsior,11,San Francisco
026002,Excelsior,11,San Francisco
026003,Excelsior,11,San Francisco
026004,Excelsior,11,San Francisco
026100,Outer Mission,11,San Francisco
026200,Outer Mission,11,San Francisco
026301,Excelsior,11,San Francisco
026302,Excelsior,11,San Francisco
026303,Excelsior,11,San Francisco
026401,Visitacion Valley,10,San Francisco
026402,Visitacion Valley,10,San Francisco
026403,Visitacion Valley,10,San Francisco
026404,Visitacion Valley,10,San Francisco
030101,Inner Sunset,5,San Francisco
030102,Inner Sunset,7,San Francisco
030201,Inner Sunset,5,San Francisco
030202,Inner Sunset,5,San Francisco
030301,Inner Sunset,7,San Francisco
030302,Inner Sunset,7,San Francisco
030400,West of Twin Peaks,7,San Francisco
030500,Twin Peaks,7,San Francisco
030600,West of Twin Peaks,7,San Francisco
030700,West of Twin Peaks,7,San Francisco
030800,West of Twin Peaks,7,San Francisco
030900,West of Twin Peaks,7,San Francisco
031000,West of Twin Peaks,7,San Francisco
031100,West of Twin Peaks,7,San Francisco
031201,Oceanview/Merced/Ingleside,11,San Francisco
031202,Oceanview/Merced/Ingleside,11,San Francisco
031301,Oceanview/Merced/Ingleside,11,San Francisco
031302,Oceanview/Merced/Ingleside,11,San Francisco
031400,Oceanview/Merced/Ingleside,11,San Francisco
032601,Sunset/Parkside,4,San Francisco
032602,Sunset/Parkside,4,San Francisco
032700,Sunset/Parkside,4,San Francisco
032801,Sunset/Parkside,4,San Francisco
032802,Sunset/Parkside,4,San Francisco
032901,Sunset/Parkside,4,San Francisco
032902,Sunset/Parkside,4,San Francisco
033000,Sunset/Parkside,4,San Francisco
033100,Sunset/Parkside,7,San Francisco
033201,Lakeshore,7,San Francisco
033203,Lakeshore,7,San Francisco
033204,Lakeshore,7,San Francisco
035100,Sunset/Parkside,4,San Francisco
035201,Sunset/Parkside,4,San Francisco
035202,Sunset/Parkside,4,San Francisco
035300,Sunset/Parkside,4,San Francisco
035400,Sunset/Parkside,4,San Francisco
040100,Inner Richmond,1,San Francisco
040200,Inner Richmond,1,San Francisco
042601,Outer Richmond,1,San Francisco
042602,Outer Richmond,1,San Francisco
042700,Outer Richmond,1,San Francisco
042800,Seacliff,2,San Francisco
045100,Inner Richmond,1,San Francisco
045200,Inner Richmond,1,San Francisco
047600,Outer Richmond,1,San Francisco
047701,Outer Richmond,1,San Francisco
047702,Outer Richmond,1,San Francisco
047801,Outer Richmond,1,San Francisco
047802,Outer Richmond,1,San Francisco
047901,Outer Richmond,1,San Francisco
047902,Outer Richmond,1,San Francisco
060100,Presidio,2,San Francisco
060400,Lakeshore,7,San Francisco
060502,Visitacion Valley,10,San Francisco
060700,Mission Bay,6,San Francisco
061000,Bayview Hunters Point,10,San Francisco
061100,Chinatown,3,San Francisco
061200,Bayview Hunters Point,10,San Francisco
061400,Potrero Hill,10,San Francisco
061500,Financial District,6,San Francisco
980200,Lincoln Park,1,San Francisco
