GEOID,neighborhood
6075980600,Bayview Hunters Point
6075980900,Bayview Hunters Point
6075061200,Bayview Hunters Point
6075023103,Bayview Hunters Point
6075061000,Bayview Hunters Point
6075023003,Bayview Hunters Point
6075023200,Bayview Hunters Point
6075023001,Bayview Hunters Point
6075023400,Bayview Hunters Point
6075023300,Bayview Hunters Point
6075023102,Bayview Hunters Point
6075025401,Bernal Heights
6075025200,Bernal Heights
6075025402,Bernal Heights
6075025403,Bernal Heights
6075025300,Bernal Heights
6075025100,Bernal Heights
6075020300,Castro/Upper Market
6075016900,Castro/Upper Market
6075020401,Castro/Upper Market
6075020600,Castro/Upper Market
6075020500,Castro/Upper Market
6075017000,Castro/Upper Market
6075011300,Chinatown
6075010700,Chinatown
6075011800,Chinatown
6075061100,Chinatown
6075026303,Excelsior
6075026004,Excelsior
6075026302,Excelsior
6075026003,Excelsior
6075026301,Excelsior
6075026001,Excelsior
6075026002,Excelsior
6075025600,Excelsior
6075010500,Financial District
6075061500,Financial District
6075011700,Financial District
6075021800,Glen Park
6075021700,Glen Park
6075980300,Golden Gate Park
6075016600,Haight Ashbury
6075017102,Haight Ashbury
6075017101,Haight Ashbury
6075016700,Haight Ashbury
6075016400,Hayes Valley
6075016802,Hayes Valley
6075016200,Hayes Valley
6075016300,Hayes Valley
6075016801,Hayes Valley
6075045200,Inner Richmond
6075040200,Inner Richmond
6075040100,Inner Richmond
6075045100,Inner Richmond
6075030302,Inner Sunset
6075030301,Inner Sunset
6075030102,Inner Sunset
6075030101,Inner Sunset
6075030202,Inner Sunset
6075030201,Inner Sunset
6075015500,Japantown
6075033204,Lakeshore
6075033203,Lakeshore
6075033201,Lakeshore
6075060400,Lakeshore
6075980200,Lincoln Park
6075016500,Lone Mountain/USF
6075015700,Lone Mountain/USF
6075015600,Lone Mountain/USF
6075012700,Marina
6075012601,Marina
6075012902,Marina
6075012602,Marina
6075013000,Marina
6075012800,Marina
6075012901,Marina
6075980501,McLaren Park
6075020700,Mission
6075020900,Mission
6075020100,Mission
6075022903,Mission
6075022802,Mission
6075022901,Mission
6075022801,Mission
6075021000,Mission
6075020800,Mission
6075020200,Mission
6075017700,Mission
6075022902,Mission
6075022803,Mission
6075060700,Mission Bay
6075012100,Nob Hill
6075012000,Nob Hill
6075011200,Nob Hill
6075011100,Nob Hill
6075010800,Nob Hill
6075011902,Nob Hill
6075011901,Nob Hill
6075021400,Noe Valley
6075021300,Noe Valley
6075021100,Noe Valley
6075021600,Noe Valley
6075021500,Noe Valley
6075021200,Noe Valley
6075010100,North Beach
6075010600,North Beach
6075010400,North Beach
6075031301,Oceanview/Merced/Ingleside
6075031202,Oceanview/Merced/Ingleside
6075031302,Oceanview/Merced/Ingleside
6075031400,Oceanview/Merced/Ingleside
6075031201,Oceanview/Merced/Ingleside
6075026200,Outer Mission
6075026100,Outer Mission
6075025500,Outer Mission
6075047802,Outer Richmond
6075042601,Outer Richmond
6075047801,Outer Richmond
6075042602,Outer Richmond
6075047902,Outer Richmond
6075047702,Outer Richmond
6075047600,Outer Richmond
6075042700,Outer Richmond
6075047901,Outer Richmond
6075047701,Outer Richmond
6075015300,Pacific Heights
6075013400,Pacific Heights
6075013200,Pacific Heights
6075013102,Pacific Heights
6075015200,Pacific Heights
6075013500,Pacific Heights
6075013101,Pacific Heights
6075025900,Portola
6075025800,Portola
6075025702,Portola
6075025701,Portola
6075022704,Potrero Hill
6075061400,Potrero Hill
6075022600,Potrero Hill
6075022702,Potrero Hill
6075060100,Presidio
6075015400,Presidio Heights
6075013300,Presidio Heights
6075010900,Russian Hill
6075010200,Russian Hill
6075011000,Russian Hill
6075010300,Russian Hill
6075042800,Seacliff
6075017802,South of Market
6075017801,South of Market
6075018000,South of Market
6075017601,South of Market
6075032902,Sunset/Parkside
6075032901,Sunset/Parkside
6075032801,Sunset/Parkside
6075032802,Sunset/Parkside
6075032602,Sunset/Parkside
6075032601,Sunset/Parkside
6075033000,Sunset/Parkside
6075035400,Sunset/Parkside
6075035201,Sunset/Parkside
6075035100,Sunset/Parkside
6075033100,Sunset/Parkside
6075035300,Sunset/Parkside
6075035202,Sunset/Parkside
6075032700,Sunset/Parkside
6075012502,Tenderloin
6075012302,Tenderloin
6075012301,Tenderloin
6075012401,Tenderloin
6075012201,Tenderloin
6075012202,Tenderloin
6075012501,Tenderloin
6075012402,Tenderloin
6075017902,Treasure Island
6075030500,Twin Peaks
6075020402,Twin Peaks
6075060502,Visitacion Valley
6075026403,Visitacion Valley
6075026401,Visitacion Valley
6075026402,Visitacion Valley
6075026404,Visitacion Valley
6075031100,West of Twin Peaks
6075031000,West of Twin Peaks
6075030900,West of Twin Peaks
6075030700,West of Twin Peaks
6075030600,West of Twin Peaks
6075030800,West of Twin Peaks
6075030400,West of Twin Peaks
6075016100,Western Addition
6075015900,Western Addition
6075015100,Western Addition
6075015802,Western Addition
6075016000,Western Addition
6075015801,Western Addition
