neighborhood,city,GEOID
Hayes Valley,San Francisco,6075016400
Western Addition,San Francisco,6075016100
Western Addition,San Francisco,6075015900
Japantown,San Francisco,6075015500
Pacific Heights,San Francisco,6075015300
Western Addition,San Francisco,6075015100
Pacific Heights,San Francisco,6075013400
Pacific Heights,San Francisco,6075013200
Nob Hill,San Francisco,6075012100
Nob Hill,San Francisco,6075012000
Chinatown,San Francisco,6075011300
Nob Hill,San Francisco,6075011200
Marina,San Francisco,6075012601
Russian Hill,San Francisco,6075010900
Chinatown,San Francisco,6075010700
Tenderloin,San Francisco,6075012502
Tenderloin,San Francisco,6075012302
Tenderloin,San Francisco,6075012301
Bayview Hunters Point,San Francisco,6075061200
Outer Richmond,San Francisco,6075047802
Outer Richmond,San Francisco,6075042601
Sunset/Parkside,San Francisco,6075032902
Sunset/Parkside,San Francisco,6075032901
Sunset/Parkside,San Francisco,6075032801
Oceanview/Merced/Ingleside,San Francisco,6075031301
Oceanview/Merced/Ingleside,San Francisco,6075031202
Potrero Hill,San Francisco,6075022704
South of Market,San Francisco,6075017802
South of Market,San Francisco,6075017801
Hayes Valley,San Francisco,6075016802
Western Addition,San Francisco,6075015802
Pacific Heights,San Francisco,6075013102
Marina,San Francisco,6075012902
Chinatown,San Francisco,6075011800
Financial District,San Francisco,6075011700
Nob Hill,San Francisco,6075011100
Russian Hill,San Francisco,6075011000
Nob Hill,San Francisco,6075010800
North Beach,San Francisco,6075010600
McLaren Park,San Francisco,6075980501
Lincoln Park,San Francisco,6075980200
North Beach,San Francisco,6075010400
Tenderloin,San Francisco,6075012401
Russian Hill,San Francisco,6075010300
Golden Gate Park,San Francisco,6075980300
Potrero Hill,San Francisco,6075061400
Chinatown,San Francisco,6075061100
Outer Richmond,San Francisco,6075047801
Outer Richmond,San Francisco,6075042602
Lakeshore,San Francisco,6075033204
Lakeshore,San Francisco,6075033203
Sunset/Parkside,San Francisco,6075032802
Sunset/Parkside,San Francisco,6075032602
Sunset/Parkside,San Francisco,6075032601
Oceanview/Merced/Ingleside,San Francisco,6075031302
Tenderloin,San Francisco,6075012201
Nob Hill,San Francisco,6075011902
Visitacion Valley,San Francisco,6075060502
Hayes Valley,San Francisco,6075016200
Lone Mountain/USF,San Francisco,6075016500
Hayes Valley,San Francisco,6075016300
Western Addition,San Francisco,6075016000
Lone Mountain/USF,San Francisco,6075015700
Lone Mountain/USF,San Francisco,6075015600
Mission,San Francisco,6075020700
Presidio Heights,San Francisco,6075015400
Pacific Heights,San Francisco,6075015200
Pacific Heights,San Francisco,6075013500
Presidio Heights,San Francisco,6075013300
Marina,San Francisco,6075013000
Marina,San Francisco,6075012800
Outer Richmond,San Francisco,6075047902
Noe Valley,San Francisco,6075021400
Noe Valley,San Francisco,6075021300
Noe Valley,San Francisco,6075021100
Mission,San Francisco,6075020900
Castro/Upper Market,San Francisco,6075020300
Mission,San Francisco,6075020100
Castro/Upper Market,San Francisco,6075016900
Haight Ashbury,San Francisco,6075016600
Outer Richmond,San Francisco,6075047702
Outer Richmond,San Francisco,6075047600
Inner Richmond,San Francisco,6075045200
Sunset/Parkside,San Francisco,6075033000
Seacliff,San Francisco,6075042800
Inner Richmond,San Francisco,6075040200
Inner Richmond,San Francisco,6075040100
Oceanview/Merced/Ingleside,San Francisco,6075031400
West of Twin Peaks,San Francisco,6075031100
Tenderloin,San Francisco,6075012202
Sunset/Parkside,San Francisco,6075035400
Sunset/Parkside,San Francisco,6075035201
Sunset/Parkside,San Francisco,6075035100
Sunset/Parkside,San Francisco,6075033100
West of Twin Peaks,San Francisco,6075031000
West of Twin Peaks,San Francisco,6075030900
West of Twin Peaks,San Francisco,6075030700
West of Twin Peaks,San Francisco,6075030600
Twin Peaks,San Francisco,6075030500
Inner Sunset,San Francisco,6075030302
Lakeshore,San Francisco,6075033201
Nob Hill,San Francisco,6075011901
Inner Sunset,San Francisco,6075030301
Inner Sunset,San Francisco,6075030102
Inner Sunset,San Francisco,6075030101
Visitacion Valley,San Francisco,6075026403
Visitacion Valley,San Francisco,6075026401
Excelsior,San Francisco,6075026303
Visitacion Valley,San Francisco,6075026402
Outer Mission,San Francisco,6075026200
Outer Mission,San Francisco,6075026100
Excelsior,San Francisco,6075026004
Portola,San Francisco,6075025900
Pacific Heights,San Francisco,6075013101
Portola,San Francisco,6075025800
Oceanview/Merced/Ingleside,San Francisco,6075031201
Portola,San Francisco,6075025702
Portola,San Francisco,6075025701
Marina,San Francisco,6075012901
Tenderloin,San Francisco,6075012501
Tenderloin,San Francisco,6075012402
Twin Peaks,San Francisco,6075020402
Castro/Upper Market,San Francisco,6075020401
Haight Ashbury,San Francisco,6075017102
Haight Ashbury,San Francisco,6075017101
Hayes Valley,San Francisco,6075016801
Western Addition,San Francisco,6075015801
Bayview Hunters Point,San Francisco,6075023003
Lakeshore,San Francisco,6075060400
Inner Richmond,San Francisco,6075045100
