category,attribute_name,calc_type,median_type,attribute_id
Language Spoken at Home,Spanish,normalized,,"B16001_003, B16001_001"
Language Spoken at Home,Spanish-Limited English proficiency,normalized,,"B16001_005, B16001_001"
Language Spoken at Home,French,normalized,,"B16001_006, B16001_001"
Language Spoken at Home,French-Limited English proficiency,normalized,,"B16001_008, B16001_001"
Language Spoken at Home,Haitian,normalized,,"B16001_009, B16001_001"
Language Spoken at Home,Haitian-Limited English proficiency,normalized,,"B16001_011, B16001_001"
Language Spoken at Home,Italian,normalized,,"B16001_012, B16001_001"
Language Spoken at Home,Italian-Limited English proficiency,normalized,,"B16001_014, B16001_001"
Language Spoken at Home,German,normalized,,"B16001_018, B16001_001"
Language Spoken at Home,German-Limited English proficiency,normalized,,"B16001_020, B16001_001"
Language Spoken at Home,Russian,normalized,,"B16001_027, B16001_001"
Language Spoken at Home,Russian-Limited English proficiency,normalized,,"B16001_029, B16001_001"
Language Spoken at Home,Hindi,normalized,,"B16001_048, B16001_001"
Language Spoken at Home,Hindi-Limited English proficiency,normalized,,"B16001_050, B16001_001"
Language Spoken at Home,Punjabi,normalized,,"B16001_054, B16001_001"
Language Spoken at Home,Punjabi-Limited English proficiency,normalized,,"B16001_056, B16001_001"
Language Spoken at Home,Bengali,normalized,,"B16001_057, B16001_001"
Language Spoken at Home,Bengali-Limited English proficiency,normalized,,"B16001_059, B16001_001"
Language Spoken at Home,"Chinese (including Mandarin, Cantonese)",normalized,,"B16001_075, B16001_001"
Language Spoken at Home,Chinese-Limited English proficiency,normalized,,"B16001_077, B16001_001"
Language Spoken at Home,Japanese,normalized,,"B16001_078, B16001_001"
Language Spoken at Home,Japanese-Limited English proficiency,normalized,,"B16001_080, B16001_001"
Language Spoken at Home,Korean,normalized,,"B16001_081, B16001_001"
Language Spoken at Home,Korean-Limited English proficiency,normalized,,"B16001_083, B16001_001"
Language Spoken at Home,Hmong,normalized,,"B16001_084, B16001_001"
Language Spoken at Home,Hmong-Limited English proficiency,normalized,,"B16001_086, B16001_001"
Language Spoken at Home,Vietnamese,normalized,,"B16001_087, B16001_001"
Language Spoken at Home,Vietnamese-Limited English proficiency,normalized,,"B16001_089, B16001_001"
Language Spoken at Home,Tagalog (including Filipino),normalized,,"B16001_099, B16001_001"
Language Spoken at Home,Tagalog-Limited English proficiency,normalized,,"B16001_101, B16001_001"
Language Spoken at Home,Arabic,normalized,,"B16001_105, B16001_001"
Language Spoken at Home,Arabic-Limited English proficiency,normalized,,"B16001_107, B16001_001"
