name,id,range_start,range_end
A_median_household_income,B19001H_002E,2500,9999
A_median_household_income,B19001H_003E,10000,14999
A_median_household_income,B19001H_004E,15000,19999
A_median_household_income,B19001H_005E,20000,24999
A_median_household_income,B19001H_006E,25000,29999
A_median_household_income,B19001H_007E,30000,34999
A_median_household_income,B19001H_008E,35000,39999
A_median_household_income,B19001H_009E,40000,44999
A_median_household_income,B19001H_010E,45000,49999
A_median_household_income,B19001H_011E,50000,59999
A_median_household_income,B19001H_012E,60000,74999
A_median_household_income,B19001H_013E,75000,99999
A_median_household_income,B19001H_014E,100000,124999
A_median_household_income,B19001H_015E,125000,149999
A_median_household_income,B19001H_016E,150000,199999
A_median_household_income,B19001H_017E,200000,250001
A_median_family_income,B19101H_002E,2500,9999
A_median_family_income,B19101H_003E,10000,14999
A_median_family_income,B19101H_004E,15000,19999
A_median_family_income,B19101H_005E,20000,24999
A_median_family_income,B19101H_006E,25000,29999
A_median_family_income,B19101H_007E,30000,34999
A_median_family_income,B19101H_008E,35000,39999
A_median_family_income,B19101H_009E,40000,44999
A_median_family_income,B19101H_010E,45000,49999
A_median_family_income,B19101H_011E,50000,59999
A_median_family_income,B19101H_012E,60000,74999
A_median_family_income,B19101H_013E,75000,99999
A_median_family_income,B19101H_014E,100000,124999
A_median_family_income,B19101H_015E,125000,149999
A_median_family_income,B19101H_016E,150000,199999
A_median_family_income,B19101H_017E,200000,250001
B_median_household_income,B19001B_002E,2500,9999
B_median_household_income,B19001B_003E,10000,14999
B_median_household_income,B19001B_004E,15000,19999
B_median_household_income,B19001B_005E,20000,24999
B_median_household_income,B19001B_006E,25000,29999
B_median_household_income,B19001B_007E,30000,34999
B_median_household_income,B19001B_008E,35000,39999
B_median_household_income,B19001B_009E,40000,44999
B_median_household_income,B19001B_010E,45000,49999
B_median_household_income,B19001B_011E,50000,59999
B_median_household_income,B19001B_012E,60000,74999
B_median_household_income,B19001B_013E,75000,99999
B_median_household_income,B19001B_014E,100000,124999
B_median_household_income,B19001B_015E,125000,149999
B_median_household_income,B19001B_016E,150000,199999
B_median_household_income,B19001B_017E,200000,250001
B_median_family_income,B19101B_002E,2500,9999
B_median_family_income,B19101B_003E,10000,14999
B_median_family_income,B19101B_004E,15000,19999
B_median_family_income,B19101B_005E,20000,24999
B_median_family_income,B19101B_006E,25000,29999
B_median_family_income,B19101B_007E,30000,34999
B_median_family_income,B19101B_008E,35000,39999
B_median_family_income,B19101B_009E,40000,44999
B_median_family_income,B19101B_010E,45000,49999
B_median_family_income,B19101B_011E,50000,59999
B_median_family_income,B19101B_012E,60000,74999
B_median_family_income,B19101B_013E,75000,99999
B_median_family_income,B19101B_014E,100000,124999
B_median_family_income,B19101B_015E,125000,149999
B_median_family_income,B19101B_016E,150000,199999
B_median_family_income,B19101B_017E,200000,250001
C_median_household_income,B19001C_002E,2500,9999
C_median_household_income,B19001C_003E,10000,14999
C_median_household_income,B19001C_004E,15000,19999
C_median_household_income,B19001C_005E,20000,24999
C_median_household_income,B19001C_006E,25000,29999
C_median_household_income,B19001C_007E,30000,34999
C_median_household_income,B19001C_008E,35000,39999
C_median_household_income,B19001C_009E,40000,44999
C_median_household_income,B19001C_010E,45000,49999
C_median_household_income,B19001C_011E,50000,59999
C_median_household_income,B19001C_012E,60000,74999
C_median_household_income,B19001C_013E,75000,99999
C_median_household_income,B19001C_014E,100000,124999
C_median_household_income,B19001C_015E,125000,149999
C_median_household_income,B19001C_016E,150000,199999
C_median_household_income,B19001C_017E,200000,250001
C_median_family_income,B19101C_002E,2500,9999
C_median_family_income,B19101C_003E,10000,14999
C_median_family_income,B19101C_004E,15000,19999
C_median_family_income,B19101C_005E,20000,24999
C_median_family_income,B19101C_006E,25000,29999
C_median_family_income,B19101C_007E,30000,34999
C_median_family_income,B19101C_008E,35000,39999
C_median_family_income,B19101C_009E,40000,44999
C_median_family_income,B19101C_010E,45000,49999
C_median_family_income,B19101C_011E,50000,59999
C_median_family_income,B19101C_012E,60000,74999
C_median_family_income,B19101C_013E,75000,99999
C_median_family_income,B19101C_014E,100000,124999
C_median_family_income,B19101C_015E,125000,149999
C_median_family_income,B19101C_016E,150000,199999
C_median_family_income,B19101C_017E,200000,250001
D_median_household_income,B19001D_002E,2500,9999
D_median_household_income,B19001D_003E,10000,14999
D_median_household_income,B19001D_004E,15000,19999
D_median_household_income,B19001D_005E,20000,24999
D_median_household_income,B19001D_006E,25000,29999
D_median_household_income,B19001D_007E,30000,34999
D_median_household_income,B19001D_008E,35000,39999
D_median_household_income,B19001D_009E,40000,44999
D_median_household_income,B19001D_010E,45000,49999
D_median_household_income,B19001D_011E,50000,59999
D_median_household_income,B19001D_012E,60000,74999
D_median_household_income,B19001D_013E,75000,99999
D_median_household_income,B19001D_014E,100000,124999
D_median_household_income,B19001D_015E,125000,149999
D_median_household_income,B19001D_016E,150000,199999
