,category,attribute_name,calc_type,median_type,attribute_id
0,Population,A_Total Population,sum,,B01001A_001
1,Population,A_Group Quarter Population,sum,,B26103A_002
2,Population,A_Female Population,sum,,B01001A_017
3,Population,A_Population with Disability,sum_normalized,,"B18101A_003, B18101A_006, B18101A_009, B18101A_001"
4,Nativity,A_Foreign Born,normalized,,"B06004A_005, B06004A_001"
5,Nativity,A_Naturalized,sum_normalized,,"B05003A_006, B05003A_011, B05003A_017, B05003A_022, B05003A_001"
6,Household,A_Households,sum,,B11001A_001
7,Household,A_Family Households,normalized,,"B11001A_002, B11001A_001"
8,Household,A_Non-Family Households,normalized,,"B11001A_007, B11001A_001"
9,Household,A_Single Person Households,normalized,,"B11001A_008, B11001A_001"
10,Household,A_Average Household Size,normalized,,"B11002A_001, B11001A_001"
11,Household,A_Average Family Household Size,normalized,,"B11002A_002, B11001A_002"
12,Age,A_0-4 Years,sum_normalized,,"B01001A_003, B01001A_018, B01001A_001"
13,Age,A_5-17 Years,sum_normalized,,"B01001A_004, B01001A_005, B01001A_006, B01001A_019, B01001A_020, B01001A_021, B01001A_001"
14,Age,A_18-34 Years,sum_normalized,,"B01001A_007, B01001A_008, B01001A_009, B01001A_010, B01001A_022, B01001A_023, B01001A_024, B01001A_025, B01001A_001"
15,Age,A_35-64 Years,sum_normalized,,"B01001A_011, B01001A_012, B01001A_013, B01001A_026, B01001A_027, B01001A_028, B01001A_001"
16,Age,A_65 Years and older,sum_normalized,,"B01001A_014, B01001A_015, B01001A_016, B01001A_029, B01001A_030, B01001A_031, B01001A_001"
17,Educational Attainment,A_Less than high school degree,sum_normalized,,"C15002A_003, C15002A_008, C15002A_001"
18,Educational Attainment,A_High school degree or equivalent,sum_normalized,,"C15002A_004, C15002A_009, C15002A_001"
19,Educational Attainment,A_Some college or Associate's degree,sum_normalized,,"C15002A_005, C15002A_010, C15002A_001"
20,Educational Attainment,A_Bachelor's degree or higher,sum_normalized,,"C15002A_006, C15002A_011, C15002A_001"
21,Income,A_Per Capita Income,normalized,,"B19025A_001, B01001A_001"
22,Income,A_Percent in Poverty,normalized,,"B17001A_002, B17001A_001"
23,Employment,A_Unemployed Population,sum,,"C23002A_008, C23002A_013, C23002A_021, C23002A_026"
