FID_1,ObjectID,STATUS_1,ST_NUMBER,ST_NAME,CERT_RESID,CERT_TOURI,REPORTED_R,REPORTED_T,VACANT_RES,VACANT_TOU,TOTAL_UNIT,AVG_RENT,SERVICES,MAPBLKLOT,AFF_100_LA,FID_1_1,OBJECTID_1,FIPSSTCO,TRT2000,STFID,TRACTID,STATE,COUNTY,BOS,PD,NHOOD,Shape_Leng,Shape_Area,LOGRECNO,FID_2,object_id,state_fp,county_fp,tractce,name,neighborhood,date_data_,time_data_,sup_dist_2,sup_dist_3,date_dat_2,time_dat_2,geoid
495,3,For Profit,3900,03RD ST,19,0,0,0,0,0,0,0,,5242021,,167,168,6075,60900,6075060900,609,6,75,10,10 - South Bayshore,Bayview Hunters Point,42908.2456,38155998.68,18964,0,242,6,75,980900,9809,Bayview Hunters Point Hunters Point,7/8/2022,12:00.0,10,10,7/8/2022,09:48.1,6075980900
496,1,For Profit,479,03RD ST,19,0,19,0,0,19,19,490,Yes,3763022,,168,169,6075,17901,6075017901,179.01,6,75,6,09 - South of Market,South of Market,21354.7627,11889088.12,18849,12,230,6,75,61502,615.02,Financial District/South Beach,7/8/2022,12:00.0,6,6,7/8/2022,09:48.1,6075061502
497,345,For Profit,106,SOUTH PARK AV,15,9,0,0,0,0,0,0,,3775058,Y,168,169,6075,17901,6075017901,179.01,6,75,6,09 - South of Market,South of Market,21354.7627,11889088.12,18849,12,230,6,75,61502,615.02,Financial District/South Beach,7/8/2022,12:00.0,6,6,7/8/2022,09:48.1,6075061502
498,482,Non-Profit,22,SOUTH PARK AV,50,0,0,0,0,0,0,0,,3775048,Y,168,169,6075,17901,6075017901,179.01,6,75,6,09 - South of Market,South of Market,21354.7627,11889088.12,18849,12,230,6,75,61502,615.02,Financial District/South Beach,7/8/2022,12:00.0,6,6,7/8/2022,09:48.1,6075061502
499,483,Non-Profit,102,SOUTH PARK AV,38,1,0,0,0,0,0,0,,3775057,Y,168,169,6075,17901,6075017901,179.01,6,75,6,09 - South of Market,South of Market,21354.7627,11889088.12,18849,12,230,6,75,61502,615.02,Financial District/South Beach,7/8/2022,12:00.0,6,6,7/8/2022,09:48.1,6075061502
480,4,For Profit,4544,03RD ST,17,0,0,0,17,0,17,0,No,5296031,,94,95,6075,23002,6075023002,230.02,6,75,10,10 - South Bayshore,Bayview Hunters Point,8158.298939,2285185.855,18881,13,226,6,75,61200,612,Bayview Hunters Point Hunters Point,7/8/2022,12:00.0,10,10,7/8/2022,09:48.1,6075061200
95,107,For Profit,808,CLAY ST,7,0,7,0,0,0,7,264.14,No,210006,,13,14,6075,11400,6075011400,114,6,75,3,03 - Northeast,Chinatown,3766.010003,885902.7361,18803,14,225,6,75,61102,611.02,Chinatown,7/8/2022,12:00.0,3,3,7/8/2022,09:48.1,6075061102
96,111,For Profit,870,CLAY ST,36,0,36,0,0,0,36,482.59,,210012,,13,14,6075,11400,6075011400,114,6,75,3,03 - Northeast,Chinatown,3766.010003,885902.7361,18803,14,225,6,75,61102,611.02,Chinatown,7/8/2022,12:00.0,3,3,7/8/2022,09:48.1,6075061102
99,174,For Profit,861,GRANT AV,8,0,8,0,8,0,8,0,No,210001,,13,14,6075,11400,6075011400,114,6,75,3,03 - Northeast,Chinatown,3766.010003,885902.7361,18803,14,225,6,75,61102,611.02,Chinatown,7/8/2022,12:00.0,3,3,7/8/2022,09:48.1,6075061102
100,175,For Profit,917,GRANT AV,14,0,14,0,0,0,14,597.75,Yes,193009,,13,14,6075,11400,6075011400,114,6,75,3,03 - Northeast,Chinatown,3766.010003,885902.7361,18803,14,225,6,75,61102,611.02,Chinatown,7/8/2022,12:00.0,3,3,7/8/2022,09:48.1,6075061102
102,177,For Profit,933,GRANT AV,33,0,46,0,1,0,49,435,Yes,193007,,13,14,6075,11400,6075011400,114,6,75,3,03 - Northeast,Chinatown,3766.010003,885902.7361,18803,14,225,6,75,61102,611.02,Chinatown,7/8/2022,12:00.0,3,3,7/8/2022,09:48.1,6075061102
106,194,For Profit,706,JACKSON ST,83,0,83,0,0,0,83,400,Yes,178003,,13,14,6075,11400,6075011400,114,6,75,3,03 - Northeast,Chinatown,3766.010003,885902.7361,18803,14,225,6,75,61102,611.02,Chinatown,7/8/2022,12:00.0,3,3,7/8/2022,09:48.1,6075061102
110,339,For Profit,45,ROSS AL,28,0,28,0,0,0,28,300,Yes,0193021A,,13,14,6075,11400,6075011400,114,6,75,3,03 - Northeast,Chinatown,3766.010003,885902.7361,18803,14,225,6,75,61102,611.02,Chinatown,7/8/2022,12:00.0,3,3,7/8/2022,09:48.1,6075061102
111,346,For Profit,4,SPOFFORD AL,12,0,10,0,2,0,12,0,Yes,210010,,13,14,6075,11400,6075011400,114,6,75,3,03 - Northeast,Chinatown,3766.010003,885902.7361,18803,14,225,6,75,61102,611.02,Chinatown,7/8/2022,12:00.0,3,3,7/8/2022,09:48.1,6075061102
112,347,For Profit,31,SPOFFORD AL,7,0,0,0,0,0,0,0,,210015,,13,14,6075,11400,6075011400,114,6,75,3,03 - Northeast,Chinatown,3766.010003,885902.7361,18803,14,225,6,75,61102,611.02,Chinatown,7/8/2022,12:00.0,3,3,7/8/2022,09:48.1,6075061102
113,348,For Profit,32,SPOFFORD AL,8,0,0,0,0,0,0,0,,210023,,13,14,6075,11400,6075011400,114,6,75,3,03 - Northeast,Chinatown,3766.010003,885902.7361,18803,14,225,6,75,61102,611.02,Chinatown,7/8/2022,12:00.0,3,3,7/8/2022,09:48.1,6075061102
114,349,For Profit,39,SPOFFORD AL,40,2,0,0,0,0,0,0,,210021,,13,14,6075,11400,6075011400,114,6,75,3,03 - Northeast,Chinatown,3766.010003,885902.7361,18803,14,225,6,75,61102,611.02,Chinatown,7/8/2022,12:00.0,3,3,7/8/2022,09:48.1,6075061102
115,350,For Profit,44,SPOFFORD AL,8,0,0,0,0,0,0,0,,210045,,13,14,6075,11400,6075011400,114,6,75,3,03 - Northeast,Chinatown,3766.010003,885902.7361,18803,14,225,6,75,61102,611.02,Chinatown,7/8/2022,12:00.0,3,3,7/8/2022,09:48.1,6075061102
116,351,For Profit,48,SPOFFORD AL,7,0,7,0,0,0,7,440.51,,210025,,13,14,6075,11400,6075011400,114,6,75,3,03 - Northeast,Chinatown,3766.010003,885902.7361,18803,14,225,6,75,61102,611.02,Chinatown,7/8/2022,12:00.0,3,3,7/8/2022,09:48.1,6075061102
117,355,For Profit,1064,STOCKTON ST,12,0,12,0,0,0,12,322.39,Yes,193022,,13,14,6075,11400,6075011400,114,6,75,3,03 - Northeast,Chinatown,3766.010003,885902.7361,18803,14,225,6,75,61102,611.02,Chinatown,7/8/2022,12:00.0,3,3,7/8/2022,09:48.1,6075061102
119,406,For Profit,858,WASHINGTON ST,140,0,0,0,0,0,0,0,,193017,,13,14,6075,11400,6075011400,114,6,75,3,03 - Northeast,Chinatown,3766.010003,885902.7361,18803,14,225,6,75,61102,611.02,Chinatown,7/8/2022,12:00.0,3,3,7/8/2022,09:48.1,6075061102
120,407,For Profit,874,WASHINGTON ST,115,0,115,0,0,0,115,448.11,Yes,193018,,13,14,6075,11400,6075011400,114,6,75,3,03 - Northeast,Chinatown,3766.010003,885902.7361,18803,14,225,6,75,61102,611.02,Chinatown,7/8/2022,12:00.0,3,3,7/8/2022,09:48.1,6075061102
121,410,For Profit,124,WAVERLY PL,26,0,26,0,0,0,26,495.58,Yes,210038,,13,14,6075,11400,6075011400,114,6,75,3,03 - Northeast,Chinatown,3766.010003,885902.7361,18803,14,225,6,75,61102,611.02,Chinatown,7/8/2022,12:00.0,3,3,7/8/2022,09:48.1,6075061102
