OBJECTID,site_name,site_addr,aff_unit,tot_units,zip_code,state_fp,county_fp,tractce,neighborhood,,,
103,Connecticut Street Court,1206 Connecticut Street,10,10,94107,6,75,980900,Bayview Hunters Point,,,
301,1578 Indiana,1578 INDIANA ST,2,12,94107,6,75,980900,Bayview Hunters Point,,,
201,Pacific Pointe at the Shipyard,350 Friedell Street,59,60,94124,6,75,980600,Bayview Hunters Point,,,
647,John W. King Senior Community,500 Raymond Street,90,91,94134,6,75,980501,McLaren Park,,,
198,Transbay Block 6,280 Beale Street,69,70,94105,6,75,61507,Financial District/South Beach,,,
223,Transbay Block 7,222 Beale Street,119,120,94105,6,75,61507,Financial District/South Beach,,,
497,Rincon Center,88 HOWARD ST,76,320,94105,6,75,61507,Financial District/South Beach,,,
341,Watermark,501 BEALE ST,16,135,94105,6,75,61508,Financial District/South Beach,,,
492,Bayside Village,3 BAYSIDE VILLAGE PL,172,862,94107,6,75,61508,Financial District/South Beach,,,
656,Embarcadero Triangle,600 Embarcadero,167,177,94107,6,75,61508,Financial District/South Beach,,,
284,Embarcadero Lofts,300 BEALE ST,6,67,94105,6,75,61506,Financial District/South Beach,,,
285,Harbor Lofts (AKA 400 Spear),101 HARRISON ST,2,12,94105,6,75,61506,Financial District/South Beach,,,
294,388 Beale,388 BEALE ST,23,23,94105,6,75,61506,Financial District/South Beach,,,
314,The Metropolitan,333-355 1ST ST,34,342,94105,6,75,61506,Financial District/South Beach,,,
295,Bridgeview,400 BEALE ST,24,245,94105,6,75,61504,Financial District/South Beach,,,
410,Rincon Green,333 HARRISON ST,50,326,94105,6,75,61504,Financial District/South Beach,,,
185,Rene Cazenave Apartments,25 Essex Street,120,120,94105,6,75,61503,Financial District/South Beach,,,
222,Transbay Block 8 - Affordable Apartments,250 Fremont Street,150,546,94105,6,75,61503,Financial District/South Beach,,,
238,500 Folsom (also known as Transbay 9),500 Folsom Street,108,109,94105,6,75,61503,Financial District/South Beach,,,
282,81 Lansing,81 LANSING ST,3,33,94105,6,75,61503,Financial District/South Beach,,,
338,69 Clementina,69 CLEMENTINA ST,2,18,94105,6,75,61503,Financial District/South Beach,,,
342,The Lansing,40-50 LANSING ST,10,82,94105,6,75,61503,Financial District/South Beach,,,
438,33 Tehama,41 TEHAMA ST,60,398,94105,6,75,61503,Financial District/South Beach,,,
663,Transbay Block 8 - 80/20 Apartments,498 Folsom Street,70,71,94105,6,75,61503,Financial District/South Beach,,,
127,Yerba Buena Commons,88 Perry Street,256,257,94107,6,75,61502,Financial District/South Beach,,,
178,Arc Light Company,178 Townsend Street,18,18,94107,6,75,61502,Financial District/South Beach,,,
340,88 Townsend (Formerly 639-669 2nd ),88 TOWNSEND ST,13,112,94107,6,75,61502,Financial District/South Beach,,,
413,Arc Light Co. (AKA 21 Clarence),178 TOWNSEND ST,19,94,94107,6,75,61502,Financial District/South Beach,,,
498,South Beach Marina Apartments,2 TOWNSEND ST,101,414,94107,6,75,61502,Financial District/South Beach,,,
666,South Park Scattered Sites,104 South Park Street,105,107,94107,6,75,61502,Financial District/South Beach,,,
668,Park View Hotel,102 South Park Street,40,41,94107,6,75,61502,Financial District/South Beach,,,
669,Madrid Hotel,22 South Park Street,44,45,94107,6,75,61502,Financial District/South Beach,,,
702,Gran Oriente Filipino Hotel,106 SOUTH PARK ST,24,24,94107,6,75,61502,Financial District/South Beach,,,
45,ALL HALLOWS COMMUNITY,1711 Oakdale Ave,45,45,94124,6,75,61200,Bayview Hunters Point,,,
335,4343 3rd,4343 3RD ST,2,16,94124,6,75,61200,Bayview Hunters Point,,,
565,Jelani Family Program,1638 KIRKWOOD AVE,0,8,94124,6,75,61200,Bayview Hunters Point,,,
648,Providence Senior Housing,4699 Third St,50,50,94124,6,75,61200,Bayview Hunters Point,,,
658,Bayview Commons Apartments,4445 Third Street,29,30,94124,6,75,61200,Bayview Hunters Point,,,
566,Chinese American Citizens Alliance Grand Lodge,1044 STOCKTON ST,16,16,94108,6,75,61102,Chinatown,,,
27,International Hotel Sr Housing,848 Kearny St,104,105,94108,6,75,61101,Chinatown,,,
235,Ping Yuen,655 Pacific Ave.,233,234,94133,6,75,61101,Chinatown,,,
262,Clayton Hotel (Chinese Community Housing),657 Clay Street,82,82,94111,6,75,61101,Chinatown,,,
572,665 Clay,665 CLAY ST,25,25,94111,6,75,61101,Chinatown,,,
579,Columbus United Cooperative,53 COLUMBUS AVE,21,21,94111,6,75,61101,Chinatown,,,
192,Candlestick Heights,833 Jamestown Avenue,194,196,94124,6,75,61000,Bayview Hunters Point,,,
